Sample Name,Cell type,Label
GSM1433165,young_LTHSC,3
GSM1433169,young_LTHSC,3
GSM1433171,young_LTHSC,3
GSM1433172,young_LTHSC,3
GSM1433173,young_LTHSC,3
GSM1433174,young_LTHSC,3
GSM1433175,young_LTHSC,3
GSM1433177,young_LTHSC,3
GSM1433178,young_LTHSC,3
GSM1433179,young_LTHSC,3
GSM1433180,young_LTHSC,3
GSM1433181,young_LTHSC,3
GSM1433182,young_LTHSC,3
GSM1433183,young_LTHSC,3
GSM1433184,young_LTHSC,3
GSM1433185,young_LTHSC,3
GSM1433186,young_LTHSC,3
GSM1433187,young_LTHSC,3
GSM1433189,young_LTHSC,3
GSM1433191,young_LTHSC,3
GSM1433188,young_LTHSC,3
GSM1433193,young_LTHSC,3
GSM1433194,young_LTHSC,3
GSM1433195,young_LTHSC,3
GSM1433196,young_LTHSC,3
GSM1433197,young_LTHSC,3
GSM1433198,young_LTHSC,3
GSM1433199,young_LTHSC,3
GSM1433201,young_LTHSC,3
GSM1433203,young_LTHSC,3
GSM1433200,young_LTHSC,3
GSM1433204,young_LTHSC,3
GSM1433205,young_LTHSC,3
GSM1433206,young_LTHSC,3
GSM1433207,young_LTHSC,3
GSM1433208,young_LTHSC,3
GSM1433209,young_LTHSC,3
GSM1433210,young_LTHSC,3
GSM1433211,young_LTHSC,3
GSM1433213,young_LTHSC,3
GSM1433214,young_LTHSC,3
GSM1433212,young_LTHSC,3
GSM1433216,young_LTHSC,3
GSM1433217,young_LTHSC,3
GSM1433218,young_LTHSC,3
GSM1433219,young_LTHSC,3
GSM1433220,young_LTHSC,3
GSM1433221,young_LTHSC,3
GSM1433222,young_LTHSC,3
GSM1433223,young_LTHSC,3
GSM1433225,young_LTHSC,3
GSM1433226,young_LTHSC,3
GSM1433227,young_LTHSC,3
GSM1433224,young_LTHSC,3
GSM1433228,young_LTHSC,3
GSM1433229,young_LTHSC,3
GSM1433230,young_LTHSC,3
GSM1433231,young_LTHSC,3
GSM1433232,young_LTHSC,3
GSM1433233,young_LTHSC,3
GSM1433234,young_LTHSC,3
GSM1433235,young_LTHSC,3
GSM1433237,young_LTHSC,3
GSM1433238,young_LTHSC,3
GSM1433239,young_LTHSC,3
