Sample Name,Cell type,Label
mouse2_lib1.final_cell_0001,beta,4
mouse2_lib1.final_cell_0002,beta,4
mouse2_lib1.final_cell_0003,beta,4
mouse2_lib1.final_cell_0004,ductal,6
mouse2_lib1.final_cell_0005,beta,4
mouse2_lib1.final_cell_0006,beta,4
mouse2_lib1.final_cell_0007,beta,4
mouse2_lib1.final_cell_0008,beta,4
mouse2_lib1.final_cell_0009,delta,5
mouse2_lib1.final_cell_0010,beta,4
mouse2_lib1.final_cell_0011,beta,4
mouse2_lib1.final_cell_0012,beta,4
mouse2_lib1.final_cell_0013,alpha,3
mouse2_lib1.final_cell_0014,delta,5
mouse2_lib1.final_cell_0015,beta,4
mouse2_lib1.final_cell_0016,beta,4
mouse2_lib1.final_cell_0017,beta,4
mouse2_lib1.final_cell_0018,beta,4
mouse2_lib1.final_cell_0019,beta,4
mouse2_lib1.final_cell_0020,beta,4
mouse2_lib1.final_cell_0021,beta,4
mouse2_lib1.final_cell_0022,beta,4
mouse2_lib1.final_cell_0023,beta,4
mouse2_lib1.final_cell_0024,alpha,3
mouse2_lib1.final_cell_0025,beta,4
mouse2_lib1.final_cell_0026,beta,4
mouse2_lib1.final_cell_0027,beta,4
mouse2_lib1.final_cell_0028,beta,4
mouse2_lib1.final_cell_0029,beta,4
mouse2_lib1.final_cell_0030,ductal,6
mouse2_lib1.final_cell_0031,beta,4
mouse2_lib1.final_cell_0032,beta,4
mouse2_lib1.final_cell_0033,delta,5
mouse2_lib1.final_cell_0034,delta,5
mouse2_lib1.final_cell_0035,alpha,3
mouse2_lib1.final_cell_0036,beta,4
mouse2_lib1.final_cell_0037,alpha,3
mouse2_lib1.final_cell_0038,beta,4
mouse2_lib1.final_cell_0039,gamma,8
mouse2_lib1.final_cell_0040,delta,5
mouse2_lib1.final_cell_0041,beta,4
mouse2_lib1.final_cell_0042,delta,5
mouse2_lib1.final_cell_0043,beta,4
mouse2_lib1.final_cell_0044,delta,5
mouse2_lib1.final_cell_0045,delta,5
mouse2_lib1.final_cell_0046,beta,4
mouse2_lib1.final_cell_0047,beta,4
mouse2_lib1.final_cell_0048,alpha,3
mouse2_lib1.final_cell_0049,beta,4
mouse2_lib1.final_cell_0050,beta,4
mouse2_lib1.final_cell_0051,beta,4
mouse2_lib1.final_cell_0052,beta,4
mouse2_lib1.final_cell_0053,alpha,3
mouse2_lib1.final_cell_0054,beta,4
mouse2_lib1.final_cell_0055,beta,4
mouse2_lib1.final_cell_0056,alpha,3
mouse2_lib1.final_cell_0057,beta,4
mouse2_lib1.final_cell_0058,beta,4
mouse2_lib1.final_cell_0059,delta,5
mouse2_lib1.final_cell_0060,delta,5
mouse2_lib1.final_cell_0061,beta,4
mouse2_lib1.final_cell_0062,alpha,3
mouse2_lib1.final_cell_0063,ductal,6
mouse2_lib1.final_cell_0064,delta,5
mouse2_lib1.final_cell_0065,beta,4
mouse2_lib1.final_cell_0066,beta,4
mouse2_lib1.final_cell_0067,alpha,3
mouse2_lib1.final_cell_0068,alpha,3
mouse2_lib1.final_cell_0069,beta,4
mouse2_lib1.final_cell_0070,alpha,3
mouse2_lib1.final_cell_0071,alpha,3
mouse2_lib1.final_cell_0072,alpha,3
mouse2_lib1.final_cell_0073,beta,4
mouse2_lib1.final_cell_0074,beta,4
mouse2_lib1.final_cell_0075,beta,4
mouse2_lib1.final_cell_0076,alpha,3
mouse2_lib1.final_cell_0077,beta,4
mouse2_lib1.final_cell_0078,endothelial,7
mouse2_lib1.final_cell_0079,beta,4
mouse2_lib1.final_cell_0080,beta,4
mouse2_lib1.final_cell_0081,beta,4
mouse2_lib1.final_cell_0082,delta,5
mouse2_lib1.final_cell_0083,B_cell,0
mouse2_lib1.final_cell_0084,alpha,3
mouse2_lib1.final_cell_0085,alpha,3
mouse2_lib1.final_cell_0086,ductal,6
mouse2_lib1.final_cell_0087,beta,4
mouse2_lib1.final_cell_0088,beta,4
mouse2_lib1.final_cell_0089,beta,4
mouse2_lib1.final_cell_0090,beta,4
mouse2_lib1.final_cell_0091,delta,5
mouse2_lib1.final_cell_0092,alpha,3
mouse2_lib1.final_cell_0093,beta,4
mouse2_lib1.final_cell_0094,beta,4
mouse2_lib1.final_cell_0095,beta,4
mouse2_lib1.final_cell_0096,beta,4
mouse2_lib1.final_cell_0097,delta,5
mouse2_lib1.final_cell_0098,delta,5
mouse2_lib1.final_cell_0099,delta,5
mouse2_lib1.final_cell_0100,delta,5
mouse2_lib1.final_cell_0101,beta,4
mouse2_lib1.final_cell_0102,beta,4
mouse2_lib1.final_cell_0103,beta,4
mouse2_lib1.final_cell_0104,delta,5
mouse2_lib1.final_cell_0105,beta,4
mouse2_lib1.final_cell_0106,beta,4
mouse2_lib1.final_cell_0107,alpha,3
mouse2_lib1.final_cell_0108,beta,4
mouse2_lib1.final_cell_0109,delta,5
mouse2_lib1.final_cell_0110,gamma,8
mouse2_lib1.final_cell_0111,beta,4
mouse2_lib1.final_cell_0112,delta,5
mouse2_lib1.final_cell_0113,beta,4
mouse2_lib1.final_cell_0114,beta,4
mouse2_lib1.final_cell_0115,beta,4
mouse2_lib1.final_cell_0116,delta,5
mouse2_lib1.final_cell_0117,beta,4
mouse2_lib1.final_cell_0118,gamma,8
mouse2_lib1.final_cell_0119,gamma,8
mouse2_lib1.final_cell_0120,ductal,6
mouse2_lib1.final_cell_0121,beta,4
mouse2_lib1.final_cell_0122,beta,4
mouse2_lib1.final_cell_0123,beta,4
mouse2_lib1.final_cell_0124,beta,4
mouse2_lib1.final_cell_0125,beta,4
mouse2_lib1.final_cell_0126,beta,4
mouse2_lib1.final_cell_0127,alpha,3
mouse2_lib1.final_cell_0128,alpha,3
mouse2_lib1.final_cell_0129,endothelial,7
mouse2_lib1.final_cell_0130,beta,4
mouse2_lib1.final_cell_0131,beta,4
mouse2_lib1.final_cell_0132,beta,4
mouse2_lib1.final_cell_0133,beta,4
mouse2_lib1.final_cell_0134,beta,4
mouse2_lib1.final_cell_0135,beta,4
mouse2_lib1.final_cell_0136,beta,4
mouse2_lib1.final_cell_0137,beta,4
mouse2_lib1.final_cell_0138,alpha,3
mouse2_lib1.final_cell_0139,beta,4
mouse2_lib1.final_cell_0140,beta,4
mouse2_lib1.final_cell_0141,ductal,6
mouse2_lib1.final_cell_0142,ductal,6
mouse2_lib1.final_cell_0143,beta,4
mouse2_lib1.final_cell_0144,gamma,8
mouse2_lib1.final_cell_0145,delta,5
mouse2_lib1.final_cell_0146,gamma,8
mouse2_lib1.final_cell_0147,beta,4
mouse2_lib1.final_cell_0148,alpha,3
mouse2_lib1.final_cell_0149,alpha,3
mouse2_lib1.final_cell_0150,beta,4
mouse2_lib1.final_cell_0151,beta,4
mouse2_lib1.final_cell_0152,ductal,6
mouse2_lib1.final_cell_0153,alpha,3
mouse2_lib1.final_cell_0154,beta,4
mouse2_lib1.final_cell_0155,beta,4
mouse2_lib1.final_cell_0156,alpha,3
mouse2_lib1.final_cell_0157,alpha,3
mouse2_lib1.final_cell_0158,alpha,3
mouse2_lib1.final_cell_0159,beta,4
mouse2_lib1.final_cell_0160,beta,4
mouse2_lib1.final_cell_0161,beta,4
mouse2_lib1.final_cell_0162,gamma,8
mouse2_lib1.final_cell_0163,delta,5
mouse2_lib1.final_cell_0164,beta,4
mouse2_lib1.final_cell_0165,alpha,3
mouse2_lib1.final_cell_0166,beta,4
mouse2_lib1.final_cell_0167,delta,5
mouse2_lib1.final_cell_0168,beta,4
mouse2_lib1.final_cell_0169,delta,5
mouse2_lib1.final_cell_0170,beta,4
mouse2_lib1.final_cell_0171,alpha,3
mouse2_lib1.final_cell_0172,beta,4
mouse2_lib1.final_cell_0173,delta,5
mouse2_lib1.final_cell_0174,beta,4
mouse2_lib1.final_cell_0175,alpha,3
mouse2_lib1.final_cell_0176,beta,4
mouse2_lib1.final_cell_0177,beta,4
mouse2_lib1.final_cell_0178,alpha,3
mouse2_lib1.final_cell_0179,beta,4
mouse2_lib1.final_cell_0180,beta,4
mouse2_lib1.final_cell_0181,alpha,3
mouse2_lib1.final_cell_0182,alpha,3
mouse2_lib1.final_cell_0183,beta,4
mouse2_lib1.final_cell_0184,alpha,3
mouse2_lib1.final_cell_0185,beta,4
mouse2_lib1.final_cell_0186,alpha,3
mouse2_lib1.final_cell_0187,alpha,3
mouse2_lib1.final_cell_0188,beta,4
mouse2_lib1.final_cell_0189,alpha,3
mouse2_lib1.final_cell_0190,beta,4
mouse2_lib1.final_cell_0191,beta,4
mouse2_lib1.final_cell_0192,beta,4
mouse2_lib1.final_cell_0193,beta,4
mouse2_lib1.final_cell_0194,alpha,3
mouse2_lib1.final_cell_0195,beta,4
mouse2_lib1.final_cell_0196,alpha,3
mouse2_lib1.final_cell_0197,beta,4
mouse2_lib1.final_cell_0198,macrophage,10
mouse2_lib1.final_cell_0199,alpha,3
mouse2_lib1.final_cell_0200,beta,4
mouse2_lib1.final_cell_0201,beta,4
mouse2_lib1.final_cell_0202,beta,4
mouse2_lib1.final_cell_0203,delta,5
mouse2_lib1.final_cell_0204,gamma,8
mouse2_lib1.final_cell_0205,macrophage,10
mouse2_lib1.final_cell_0206,gamma,8
mouse2_lib1.final_cell_0207,beta,4
mouse2_lib1.final_cell_0208,macrophage,10
mouse2_lib1.final_cell_0209,alpha,3
mouse2_lib1.final_cell_0210,alpha,3
mouse2_lib1.final_cell_0211,beta,4
mouse2_lib1.final_cell_0212,beta,4
mouse2_lib1.final_cell_0213,endothelial,7
mouse2_lib1.final_cell_0214,beta,4
mouse2_lib1.final_cell_0215,beta,4
mouse2_lib1.final_cell_0216,delta,5
mouse2_lib1.final_cell_0217,gamma,8
mouse2_lib1.final_cell_0218,beta,4
mouse2_lib1.final_cell_0219,beta,4
mouse2_lib1.final_cell_0220,immune_other,9
mouse2_lib1.final_cell_0221,beta,4
mouse2_lib1.final_cell_0222,delta,5
mouse2_lib1.final_cell_0223,beta,4
mouse2_lib1.final_cell_0224,delta,5
mouse2_lib1.final_cell_0225,beta,4
mouse2_lib1.final_cell_0226,beta,4
mouse2_lib1.final_cell_0227,beta,4
mouse2_lib1.final_cell_0228,beta,4
mouse2_lib1.final_cell_0229,alpha,3
mouse2_lib1.final_cell_0230,alpha,3
mouse2_lib1.final_cell_0231,gamma,8
mouse2_lib1.final_cell_0232,macrophage,10
mouse2_lib1.final_cell_0233,beta,4
mouse2_lib1.final_cell_0234,beta,4
mouse2_lib1.final_cell_0235,alpha,3
mouse2_lib1.final_cell_0236,delta,5
mouse2_lib1.final_cell_0237,activated_stellate,2
mouse2_lib1.final_cell_0238,beta,4
mouse2_lib1.final_cell_0239,beta,4
mouse2_lib1.final_cell_0240,endothelial,7
mouse2_lib1.final_cell_0241,beta,4
mouse2_lib1.final_cell_0242,beta,4
mouse2_lib1.final_cell_0243,beta,4
mouse2_lib1.final_cell_0244,beta,4
mouse2_lib1.final_cell_0245,beta,4
mouse2_lib1.final_cell_0246,endothelial,7
mouse2_lib1.final_cell_0247,alpha,3
mouse2_lib1.final_cell_0248,alpha,3
mouse2_lib1.final_cell_0249,alpha,3
mouse2_lib1.final_cell_0250,beta,4
mouse2_lib1.final_cell_0251,macrophage,10
mouse2_lib1.final_cell_0252,macrophage,10
mouse2_lib1.final_cell_0253,beta,4
mouse2_lib1.final_cell_0254,beta,4
mouse2_lib1.final_cell_0255,beta,4
mouse2_lib1.final_cell_0256,delta,5
mouse2_lib1.final_cell_0257,beta,4
mouse2_lib1.final_cell_0258,beta,4
mouse2_lib1.final_cell_0259,delta,5
mouse2_lib1.final_cell_0260,beta,4
mouse2_lib1.final_cell_0261,delta,5
mouse2_lib1.final_cell_0262,delta,5
mouse2_lib1.final_cell_0263,endothelial,7
mouse2_lib1.final_cell_0264,delta,5
mouse2_lib1.final_cell_0265,beta,4
mouse2_lib1.final_cell_0266,beta,4
mouse2_lib1.final_cell_0267,ductal,6
mouse2_lib1.final_cell_0268,ductal,6
mouse2_lib1.final_cell_0269,alpha,3
mouse2_lib1.final_cell_0270,endothelial,7
mouse2_lib1.final_cell_0271,beta,4
mouse2_lib1.final_cell_0272,alpha,3
mouse2_lib1.final_cell_0273,alpha,3
mouse2_lib1.final_cell_0274,endothelial,7
mouse2_lib1.final_cell_0275,beta,4
mouse2_lib1.final_cell_0276,beta,4
mouse2_lib1.final_cell_0277,beta,4
mouse2_lib1.final_cell_0278,beta,4
mouse2_lib1.final_cell_0279,beta,4
mouse2_lib1.final_cell_0280,B_cell,0
mouse2_lib1.final_cell_0281,beta,4
mouse2_lib1.final_cell_0282,quiescent_stellate,11
mouse2_lib1.final_cell_0283,alpha,3
mouse2_lib1.final_cell_0284,alpha,3
mouse2_lib1.final_cell_0285,activated_stellate,2
mouse2_lib1.final_cell_0286,endothelial,7
mouse2_lib1.final_cell_0287,beta,4
mouse2_lib1.final_cell_0288,beta,4
