Sample Name,Cell type,Label
GSM1278009,16-cell,4
GSM1278010,16-cell,4
GSM1278011,16-cell,4
GSM1278012,16-cell,4
GSM1278013,16-cell,4
GSM1278014,16-cell,4
GSM1278015,16-cell,4
GSM1278016,16-cell,4
GSM1278017,8-cell,3
GSM1278018,8-cell,3
GSM1278019,8-cell,3
GSM1278020,8-cell,3
GSM1278021,8-cell,3
GSM1278022,8-cell,3
GSM1278023,8-cell,3
GSM1278024,8-cell,3
GSM1278025,8-cell,3
GSM1278026,8-cell,3
GSM1278027,8-cell,3
GSM1278028,8-cell,3
GSM1278029,8-cell,3
GSM1278030,8-cell,3
GSM1278031,8-cell,3
GSM1278032,8-cell,3
GSM1278033,8-cell,3
GSM1278034,8-cell,3
GSM1278035,8-cell,3
GSM1278036,fibroblast,2
GSM1278037,fibroblast,2
GSM1278038,fibroblast,2
GSM1278039,fibroblast,2
GSM1278040,fibroblast,2
GSM1278041,fibroblast,2
GSM1278042,fibroblast,2
GSM1278043,fibroblast,2
GSM1278044,fibroblast,2
GSM1278045,fibroblast,2
GSM1112490,16-cell,4
GSM1112491,16-cell,4
GSM1112492,16-cell,4
GSM1112493,16-cell,4
GSM1112494,16-cell,4
GSM1112495,16-cell,4
GSM1112496,16-cell,4
GSM1112497,16-cell,4
GSM1112498,16-cell,4
GSM1112499,16-cell,4
GSM1112500,16-cell,4
GSM1112501,16-cell,4
GSM1112502,16-cell,4
GSM1112503,16-cell,4
GSM1112504,16-cell,4
GSM1112505,16-cell,4
GSM1112506,16-cell,4
GSM1112507,16-cell,4
GSM1112508,16-cell,4
GSM1112509,16-cell,4
GSM1112510,16-cell,4
GSM1112511,16-cell,4
GSM1112512,16-cell,4
GSM1112513,16-cell,4
GSM1112514,16-cell,4
GSM1112515,16-cell,4
GSM1112516,16-cell,4
GSM1112517,16-cell,4
GSM1112518,16-cell,4
GSM1112519,16-cell,4
GSM1112520,16-cell,4
GSM1112521,16-cell,4
GSM1112522,16-cell,4
GSM1112523,16-cell,4
GSM1112524,16-cell,4
GSM1112525,16-cell,4
GSM1112526,16-cell,4
GSM1112527,16-cell,4
GSM1112528,16-cell,4
GSM1112529,16-cell,4
GSM1112530,16-cell,4
GSM1112531,16-cell,4
GSM1112532,16-cell,4
GSM1112533,16-cell,4
GSM1112534,16-cell,4
GSM1112535,16-cell,4
GSM1112536,16-cell,4
GSM1112537,16-cell,4
GSM1112538,16-cell,4
GSM1112539,16-cell,4
GSM1112540,4-cell,5
GSM1112541,4-cell,5
GSM1112542,4-cell,5
GSM1112543,4-cell,5
GSM1112544,4-cell,5
GSM1112545,4-cell,5
GSM1112546,4-cell,5
GSM1112547,4-cell,5
GSM1112548,4-cell,5
GSM1112549,4-cell,5
GSM1112550,4-cell,5
GSM1112551,4-cell,5
GSM1112552,4-cell,5
GSM1112553,4-cell,5
GSM1112554,8-cell,3
GSM1112555,8-cell,3
GSM1112556,8-cell,3
GSM1112557,8-cell,3
GSM1112558,8-cell,3
GSM1112559,8-cell,3
GSM1112560,8-cell,3
GSM1112561,8-cell,3
GSM1112562,8-cell,3
GSM1112563,8-cell,3
GSM1112564,8-cell,3
GSM1112565,8-cell,3
GSM1112566,8-cell,3
GSM1112567,8-cell,3
GSM1112568,8-cell,3
GSM1112569,8-cell,3
GSM1112570,8-cell,3
GSM1112571,8-cell,3
GSM1112572,8-cell,3
GSM1112573,8-cell,3
GSM1112574,8-cell,3
GSM1112575,8-cell,3
GSM1112576,8-cell,3
GSM1112577,8-cell,3
GSM1112578,8-cell,3
GSM1112579,8-cell,3
GSM1112580,8-cell,3
GSM1112581,8-cell,3
GSM1112595,2-cell,0
GSM1112596,2-cell,0
GSM1112597,2-cell,0
GSM1112598,2-cell,0
GSM1112599,2-cell,0
GSM1112600,2-cell,0
GSM1112601,2-cell,0
GSM1112602,2-cell,0
GSM1112603,2-cell,0
GSM1112604,2-cell,0
GSM1112605,2-cell,0
GSM1112606,2-cell,0
GSM1112607,2-cell,0
GSM1112608,2-cell,0
GSM1112609,2-cell,0
GSM1112610,2-cell,0
GSM1112611,Early blastocyst,6
GSM1112612,Early blastocyst,6
GSM1112613,Early blastocyst,6
GSM1112614,Early blastocyst,6
GSM1112615,Early blastocyst,6
GSM1112616,Early blastocyst,6
GSM1112617,Early blastocyst,6
GSM1112618,Early blastocyst,6
GSM1112619,Early blastocyst,6
GSM1112620,Early blastocyst,6
GSM1112621,Early blastocyst,6
GSM1112622,Early blastocyst,6
GSM1112623,Early blastocyst,6
GSM1112624,Early blastocyst,6
GSM1112625,Early blastocyst,6
GSM1112626,Early blastocyst,6
GSM1112627,Early blastocyst,6
GSM1112628,Early blastocyst,6
GSM1112629,Early blastocyst,6
GSM1112630,Early blastocyst,6
GSM1112631,Early blastocyst,6
GSM1112632,Early blastocyst,6
GSM1112633,Early blastocyst,6
GSM1112634,Early blastocyst,6
GSM1112635,Early blastocyst,6
GSM1112636,Early blastocyst,6
GSM1112637,Early blastocyst,6
GSM1112638,Early blastocyst,6
GSM1112639,Early blastocyst,6
GSM1112640,Early blastocyst,6
GSM1112641,Early blastocyst,6
GSM1112642,Early blastocyst,6
GSM1112643,Early blastocyst,6
GSM1112644,Early blastocyst,6
GSM1112645,Early blastocyst,6
GSM1112646,Early blastocyst,6
GSM1112647,Early blastocyst,6
GSM1112648,Early blastocyst,6
GSM1112649,Early blastocyst,6
GSM1112650,Early blastocyst,6
GSM1112651,Early blastocyst,6
GSM1112652,Early blastocyst,6
GSM1112653,Early blastocyst,6
GSM1112654,2-cell,0
GSM1112655,2-cell,0
GSM1112656,2-cell,0
GSM1112657,2-cell,0
GSM1112658,2-cell,0
GSM1112659,2-cell,0
GSM1112660,2-cell,0
GSM1112661,2-cell,0
GSM1112662,2-cell,0
GSM1112663,2-cell,0
GSM1112664,Late blastocyst,1
GSM1112665,Late blastocyst,1
GSM1112666,Late blastocyst,1
GSM1112667,Late blastocyst,1
GSM1112668,Late blastocyst,1
GSM1112669,Late blastocyst,1
GSM1112670,Late blastocyst,1
GSM1112671,Late blastocyst,1
GSM1112672,Late blastocyst,1
GSM1112673,Late blastocyst,1
GSM1112674,Late blastocyst,1
GSM1112675,Late blastocyst,1
GSM1112676,Late blastocyst,1
GSM1112677,Late blastocyst,1
GSM1112678,Late blastocyst,1
GSM1112679,Late blastocyst,1
GSM1112680,Late blastocyst,1
GSM1112681,Late blastocyst,1
GSM1112682,Late blastocyst,1
GSM1112683,Late blastocyst,1
GSM1112684,Late blastocyst,1
GSM1112685,Late blastocyst,1
GSM1112686,Late blastocyst,1
GSM1112687,Late blastocyst,1
GSM1112688,Late blastocyst,1
GSM1112689,Late blastocyst,1
GSM1112690,Late blastocyst,1
GSM1112691,Late blastocyst,1
GSM1112692,Late blastocyst,1
GSM1112693,Late blastocyst,1
GSM1112694,2-cell,0
GSM1112695,2-cell,0
GSM1112696,2-cell,0
GSM1112697,2-cell,0
GSM1112698,2-cell,0
GSM1112699,2-cell,0
GSM1112700,2-cell,0
GSM1112701,2-cell,0
GSM1112702,2-cell,0
GSM1112703,2-cell,0
GSM1112704,2-cell,0
GSM1112705,2-cell,0
GSM1112706,Mid blastocyst,7
GSM1112707,Mid blastocyst,7
GSM1112708,Mid blastocyst,7
GSM1112709,Mid blastocyst,7
GSM1112710,Mid blastocyst,7
GSM1112711,Mid blastocyst,7
GSM1112712,Mid blastocyst,7
GSM1112713,Mid blastocyst,7
GSM1112714,Mid blastocyst,7
GSM1112715,Mid blastocyst,7
GSM1112716,Mid blastocyst,7
GSM1112717,Mid blastocyst,7
GSM1112718,Mid blastocyst,7
GSM1112719,Mid blastocyst,7
GSM1112720,Mid blastocyst,7
GSM1112721,Mid blastocyst,7
GSM1112722,Mid blastocyst,7
GSM1112723,Mid blastocyst,7
GSM1112724,Mid blastocyst,7
GSM1112725,Mid blastocyst,7
GSM1112726,Mid blastocyst,7
GSM1112727,Mid blastocyst,7
GSM1112728,Mid blastocyst,7
GSM1112729,Mid blastocyst,7
GSM1112730,Mid blastocyst,7
GSM1112731,Mid blastocyst,7
GSM1112732,Mid blastocyst,7
GSM1112733,Mid blastocyst,7
GSM1112734,Mid blastocyst,7
GSM1112735,Mid blastocyst,7
GSM1112736,Mid blastocyst,7
GSM1112737,Mid blastocyst,7
GSM1112738,Mid blastocyst,7
GSM1112739,Mid blastocyst,7
GSM1112740,Mid blastocyst,7
GSM1112741,Mid blastocyst,7
GSM1112742,Mid blastocyst,7
GSM1112743,Mid blastocyst,7
GSM1112744,Mid blastocyst,7
GSM1112745,Mid blastocyst,7
GSM1112746,Mid blastocyst,7
GSM1112747,Mid blastocyst,7
GSM1112748,Mid blastocyst,7
GSM1112749,Mid blastocyst,7
GSM1112750,Mid blastocyst,7
GSM1112751,Mid blastocyst,7
GSM1112752,Mid blastocyst,7
GSM1112753,Mid blastocyst,7
GSM1112754,Mid blastocyst,7
GSM1112755,Mid blastocyst,7
GSM1112756,Mid blastocyst,7
GSM1112757,Mid blastocyst,7
GSM1112758,Mid blastocyst,7
GSM1112759,Mid blastocyst,7
GSM1112760,Mid blastocyst,7
GSM1112761,Mid blastocyst,7
GSM1112762,Mid blastocyst,7
GSM1112763,Mid blastocyst,7
GSM1112764,Mid blastocyst,7
GSM1112765,Mid blastocyst,7
