Sample Name,Cell type,Label
GSM1965778,00h,0
GSM1965779,00h,0
GSM1965780,00h,0
GSM1965781,00h,0
GSM1965782,00h,0
GSM1965783,00h,0
GSM1965784,00h,0
GSM1965785,00h,0
GSM1965786,00h,0
GSM1965787,00h,0
GSM1965788,00h,0
GSM1965789,00h,0
GSM1965790,00h,0
GSM1965791,00h,0
GSM1965792,00h,0
GSM1965793,00h,0
GSM1965794,00h,0
GSM1965795,00h,0
GSM1965796,00h,0
GSM1965797,00h,0
GSM1965798,00h,0
GSM1965799,00h,0
GSM1965800,00h,0
GSM1965801,00h,0
GSM1965802,00h,0
GSM1965803,00h,0
GSM1965804,00h,0
GSM1965805,00h,0
GSM1965806,00h,0
GSM1965807,00h,0
GSM1965808,00h,0
GSM1965809,00h,0
GSM1965810,00h,0
GSM1965811,00h,0
GSM1965812,00h,0
GSM1965813,00h,0
GSM1965814,00h,0
GSM1965815,00h,0
GSM1965816,00h,0
GSM1965817,00h,0
GSM1965818,00h,0
GSM1965819,00h,0
GSM1965820,00h,0
GSM1965821,00h,0
GSM1965822,00h,0
GSM1965823,00h,0
GSM1965824,00h,0
GSM1965825,00h,0
GSM1965826,00h,0
GSM1965827,00h,0
GSM1965828,00h,0
GSM1965829,00h,0
GSM1965830,00h,0
GSM1965831,00h,0
GSM1965832,00h,0
GSM1965833,00h,0
GSM1965834,00h,0
GSM1965835,00h,0
GSM1965836,00h,0
GSM1965837,00h,0
GSM1965838,00h,0
GSM1965839,00h,0
GSM1965840,00h,0
GSM1965841,00h,0
GSM1965842,00h,0
GSM1965843,00h,0
GSM1965844,00h,0
GSM1965845,00h,0
GSM1965846,00h,0
GSM1965847,00h,0
GSM1965848,00h,0
GSM1965849,00h,0
GSM1965850,00h,0
GSM1965851,00h,0
GSM1965852,00h,0
GSM1965853,00h,0
GSM1965854,00h,0
GSM1965855,00h,0
GSM1965856,00h,0
GSM1965857,00h,0
GSM1965858,00h,0
GSM1965859,00h,0
GSM1965860,00h,0
GSM1965861,00h,0
GSM1965862,00h,0
GSM1965863,00h,0
GSM1965864,00h,0
GSM1965865,00h,0
GSM1965866,00h,0
GSM1965867,00h,0
GSM1965868,00h,0
GSM1965869,00h,0
GSM1965870,12h,1
GSM1965871,12h,1
GSM1965872,12h,1
GSM1965873,12h,1
GSM1965874,12h,1
GSM1965875,12h,1
GSM1965876,12h,1
GSM1965877,12h,1
GSM1965878,12h,1
GSM1965879,12h,1
GSM1965880,12h,1
GSM1965881,12h,1
GSM1965882,12h,1
GSM1965883,12h,1
GSM1965884,12h,1
GSM1965885,12h,1
GSM1965886,12h,1
GSM1965887,12h,1
GSM1965888,12h,1
GSM1965889,12h,1
GSM1965890,12h,1
GSM1965891,12h,1
GSM1965892,12h,1
GSM1965893,12h,1
GSM1965894,12h,1
GSM1965895,12h,1
GSM1965896,12h,1
GSM1965897,12h,1
GSM1965898,12h,1
GSM1965899,12h,1
GSM1965900,12h,1
GSM1965901,12h,1
GSM1965902,12h,1
GSM1965903,12h,1
GSM1965904,12h,1
GSM1965905,12h,1
GSM1965906,12h,1
