Sample Name,Cell type,Label
human4_lib1.final_cell_0001,ductal,5
human4_lib1.final_cell_0002,delta,4
human4_lib1.final_cell_0003,delta,4
human4_lib1.final_cell_0004,ductal,5
human4_lib1.final_cell_0005,ductal,5
human4_lib1.final_cell_0006,ductal,5
human4_lib1.final_cell_0007,ductal,5
human4_lib1.final_cell_0008,alpha,2
human4_lib1.final_cell_0009,ductal,5
human4_lib1.final_cell_0010,ductal,5
human4_lib1.final_cell_0011,alpha,2
human4_lib1.final_cell_0012,ductal,5
human4_lib1.final_cell_0013,ductal,5
human4_lib1.final_cell_0014,ductal,5
human4_lib1.final_cell_0015,delta,4
human4_lib1.final_cell_0016,activated_stellate,1
human4_lib1.final_cell_0017,beta,3
human4_lib1.final_cell_0018,ductal,5
human4_lib1.final_cell_0019,ductal,5
human4_lib1.final_cell_0020,beta,3
human4_lib1.final_cell_0021,beta,3
human4_lib1.final_cell_0022,delta,4
human4_lib1.final_cell_0023,ductal,5
human4_lib1.final_cell_0024,delta,4
human4_lib1.final_cell_0025,alpha,2
human4_lib1.final_cell_0026,beta,3
human4_lib1.final_cell_0027,beta,3
human4_lib1.final_cell_0028,delta,4
human4_lib1.final_cell_0029,ductal,5
human4_lib1.final_cell_0030,activated_stellate,1
human4_lib1.final_cell_0031,ductal,5
human4_lib1.final_cell_0032,ductal,5
human4_lib1.final_cell_0033,ductal,5
human4_lib1.final_cell_0034,beta,3
human4_lib1.final_cell_0035,macrophage,9
human4_lib1.final_cell_0036,alpha,2
human4_lib1.final_cell_0037,beta,3
human4_lib1.final_cell_0038,beta,3
human4_lib1.final_cell_0039,alpha,2
human4_lib1.final_cell_0040,ductal,5
human4_lib1.final_cell_0041,beta,3
human4_lib1.final_cell_0042,beta,3
human4_lib1.final_cell_0043,alpha,2
human4_lib1.final_cell_0044,ductal,5
human4_lib1.final_cell_0045,ductal,5
human4_lib1.final_cell_0046,beta,3
human4_lib1.final_cell_0047,beta,3
human4_lib1.final_cell_0048,alpha,2
human4_lib1.final_cell_0049,beta,3
human4_lib1.final_cell_0050,alpha,2
human4_lib1.final_cell_0051,beta,3
human4_lib1.final_cell_0052,ductal,5
human4_lib1.final_cell_0053,beta,3
human4_lib1.final_cell_0054,ductal,5
human4_lib1.final_cell_0055,alpha,2
