Sample Name,Cell type,Label
mouse1_lib1.final_cell_0001,beta,4
mouse1_lib1.final_cell_0002,ductal,6
mouse1_lib1.final_cell_0003,delta,5
mouse1_lib1.final_cell_0004,schwann,12
mouse1_lib1.final_cell_0005,delta,5
mouse1_lib1.final_cell_0006,beta,4
mouse1_lib1.final_cell_0007,beta,4
mouse1_lib1.final_cell_0008,beta,4
mouse1_lib1.final_cell_0009,beta,4
mouse1_lib1.final_cell_0010,ductal,6
mouse1_lib1.final_cell_0011,ductal,6
mouse1_lib1.final_cell_0012,beta,4
mouse1_lib1.final_cell_0013,beta,4
mouse1_lib1.final_cell_0014,delta,5
mouse1_lib1.final_cell_0015,beta,4
mouse1_lib1.final_cell_0016,ductal,6
mouse1_lib1.final_cell_0017,beta,4
mouse1_lib1.final_cell_0018,quiescent_stellate,11
mouse1_lib1.final_cell_0019,ductal,6
mouse1_lib1.final_cell_0020,ductal,6
mouse1_lib1.final_cell_0021,beta,4
mouse1_lib1.final_cell_0022,beta,4
mouse1_lib1.final_cell_0023,beta,4
mouse1_lib1.final_cell_0024,delta,5
mouse1_lib1.final_cell_0025,quiescent_stellate,11
mouse1_lib1.final_cell_0026,endothelial,7
mouse1_lib1.final_cell_0027,ductal,6
mouse1_lib1.final_cell_0028,ductal,6
mouse1_lib1.final_cell_0029,beta,4
mouse1_lib1.final_cell_0030,ductal,6
mouse1_lib1.final_cell_0031,ductal,6
mouse1_lib1.final_cell_0032,ductal,6
mouse1_lib1.final_cell_0033,gamma,8
mouse1_lib1.final_cell_0034,beta,4
mouse1_lib1.final_cell_0035,beta,4
mouse1_lib1.final_cell_0036,ductal,6
mouse1_lib1.final_cell_0037,ductal,6
mouse1_lib1.final_cell_0038,ductal,6
mouse1_lib1.final_cell_0039,delta,5
mouse1_lib1.final_cell_0040,beta,4
mouse1_lib1.final_cell_0041,beta,4
mouse1_lib1.final_cell_0042,ductal,6
mouse1_lib1.final_cell_0043,delta,5
mouse1_lib1.final_cell_0044,endothelial,7
mouse1_lib1.final_cell_0045,beta,4
mouse1_lib1.final_cell_0046,beta,4
mouse1_lib1.final_cell_0047,alpha,3
mouse1_lib1.final_cell_0048,ductal,6
mouse1_lib1.final_cell_0049,beta,4
mouse1_lib1.final_cell_0050,ductal,6
mouse1_lib1.final_cell_0051,gamma,8
mouse1_lib1.final_cell_0052,beta,4
mouse1_lib1.final_cell_0053,ductal,6
mouse1_lib1.final_cell_0054,ductal,6
mouse1_lib1.final_cell_0055,ductal,6
mouse1_lib1.final_cell_0056,beta,4
mouse1_lib1.final_cell_0057,ductal,6
mouse1_lib1.final_cell_0058,endothelial,7
mouse1_lib1.final_cell_0059,ductal,6
mouse1_lib1.final_cell_0060,beta,4
mouse1_lib1.final_cell_0061,beta,4
mouse1_lib1.final_cell_0062,ductal,6
mouse1_lib1.final_cell_0063,ductal,6
mouse1_lib1.final_cell_0064,endothelial,7
mouse1_lib1.final_cell_0065,beta,4
mouse1_lib1.final_cell_0066,beta,4
mouse1_lib1.final_cell_0067,ductal,6
mouse1_lib1.final_cell_0068,beta,4
mouse1_lib1.final_cell_0069,endothelial,7
mouse1_lib1.final_cell_0070,ductal,6
mouse1_lib1.final_cell_0071,beta,4
mouse1_lib1.final_cell_0072,beta,4
mouse1_lib1.final_cell_0073,endothelial,7
mouse1_lib1.final_cell_0074,beta,4
mouse1_lib1.final_cell_0075,beta,4
mouse1_lib1.final_cell_0076,ductal,6
mouse1_lib1.final_cell_0077,beta,4
mouse1_lib1.final_cell_0078,ductal,6
mouse1_lib1.final_cell_0079,quiescent_stellate,11
mouse1_lib1.final_cell_0080,beta,4
mouse1_lib1.final_cell_0081,ductal,6
mouse1_lib1.final_cell_0082,ductal,6
mouse1_lib1.final_cell_0083,delta,5
mouse1_lib1.final_cell_0084,alpha,3
mouse1_lib1.final_cell_0085,ductal,6
mouse1_lib1.final_cell_0086,beta,4
mouse1_lib1.final_cell_0087,ductal,6
mouse1_lib1.final_cell_0088,ductal,6
mouse1_lib1.final_cell_0089,beta,4
mouse1_lib1.final_cell_0090,ductal,6
mouse1_lib1.final_cell_0091,delta,5
mouse1_lib1.final_cell_0092,endothelial,7
mouse1_lib1.final_cell_0093,beta,4
mouse1_lib1.final_cell_0094,beta,4
mouse1_lib1.final_cell_0095,ductal,6
mouse1_lib1.final_cell_0096,delta,5
mouse1_lib1.final_cell_0097,beta,4
mouse1_lib1.final_cell_0098,ductal,6
mouse1_lib1.final_cell_0099,ductal,6
mouse1_lib1.final_cell_0100,endothelial,7
mouse1_lib1.final_cell_0101,beta,4
mouse1_lib1.final_cell_0102,endothelial,7
mouse1_lib1.final_cell_0103,beta,4
mouse1_lib1.final_cell_0104,ductal,6
mouse1_lib1.final_cell_0105,quiescent_stellate,11
mouse1_lib1.final_cell_0106,beta,4
mouse1_lib1.final_cell_0107,quiescent_stellate,11
mouse1_lib1.final_cell_0108,beta,4
mouse1_lib1.final_cell_0109,beta,4
mouse1_lib1.final_cell_0110,quiescent_stellate,11
mouse1_lib1.final_cell_0111,delta,5
mouse1_lib1.final_cell_0112,macrophage,10
mouse1_lib1.final_cell_0113,beta,4
mouse1_lib1.final_cell_0114,beta,4
mouse1_lib1.final_cell_0115,endothelial,7
mouse1_lib1.final_cell_0116,macrophage,10
mouse1_lib1.final_cell_0117,beta,4
mouse1_lib1.final_cell_0118,beta,4
mouse1_lib1.final_cell_0119,beta,4
mouse1_lib1.final_cell_0120,endothelial,7
mouse1_lib1.final_cell_0121,beta,4
mouse1_lib1.final_cell_0122,delta,5
mouse1_lib1.final_cell_0123,beta,4
mouse1_lib1.final_cell_0124,macrophage,10
mouse1_lib1.final_cell_0125,beta,4
mouse1_lib1.final_cell_0126,quiescent_stellate,11
mouse1_lib1.final_cell_0127,ductal,6
mouse1_lib1.final_cell_0128,beta,4
mouse1_lib1.final_cell_0129,beta,4
mouse1_lib1.final_cell_0130,beta,4
mouse1_lib1.final_cell_0131,beta,4
mouse1_lib1.final_cell_0132,beta,4
mouse1_lib1.final_cell_0133,ductal,6
mouse1_lib1.final_cell_0134,beta,4
mouse1_lib1.final_cell_0135,ductal,6
mouse1_lib1.final_cell_0136,delta,5
mouse1_lib1.final_cell_0137,beta,4
mouse1_lib1.final_cell_0138,beta,4
mouse1_lib1.final_cell_0139,alpha,3
mouse1_lib1.final_cell_0140,ductal,6
mouse1_lib1.final_cell_0141,beta,4
mouse1_lib1.final_cell_0142,beta,4
mouse1_lib1.final_cell_0143,beta,4
mouse1_lib1.final_cell_0144,beta,4
mouse1_lib1.final_cell_0145,endothelial,7
mouse1_lib1.final_cell_0146,delta,5
mouse1_lib1.final_cell_0147,beta,4
mouse1_lib1.final_cell_0148,beta,4
mouse1_lib1.final_cell_0149,beta,4
mouse1_lib1.final_cell_0150,beta,4
mouse1_lib1.final_cell_0151,ductal,6
mouse1_lib1.final_cell_0152,beta,4
mouse1_lib1.final_cell_0153,ductal,6
mouse1_lib1.final_cell_0154,beta,4
mouse1_lib1.final_cell_0155,ductal,6
mouse1_lib1.final_cell_0156,delta,5
mouse1_lib1.final_cell_0157,endothelial,7
mouse1_lib1.final_cell_0158,beta,4
mouse1_lib1.final_cell_0159,ductal,6
mouse1_lib1.final_cell_0160,macrophage,10
mouse1_lib1.final_cell_0161,delta,5
mouse1_lib1.final_cell_0162,immune_other,9
mouse1_lib1.final_cell_0163,beta,4
mouse1_lib1.final_cell_0164,beta,4
mouse1_lib1.final_cell_0165,ductal,6
mouse1_lib1.final_cell_0166,delta,5
mouse1_lib1.final_cell_0167,gamma,8
